date,region,rank,char_id,name,score
2026-09-02,한국,1,character:139,엄자영,286
2026-09-02,한국,2,content:6,회귀한 색마는 정파 후기지수가 되었다,96
2026-09-02,한국,3,content:101,일진녀들과 무인도에서 살아남기,73
2026-09-02,한국,4,character:176,한가영,47
2026-09-02,한국,5,character:100,장선영,46
2026-09-02,한국,6,character:61,한나리,42
2026-09-02,한국,7,character:1,신아영,34
2026-09-02,한국,8,character:70,박다영,34
2026-09-02,한국,9,character:202,우미희,34
2026-09-02,한국,10,character:118,박채원,27
2026-09-02,한국,11,character:314,한유라,19
2026-09-02,한국,12,character:119,서민희,13
2026-09-02,한국,13,character:133,김고은,10
2026-09-02,한국,14,character:258,고유미,9
2026-09-02,한국,15,character:265,한서현,8
2026-09-02,한국,16,character:292,조민주,8
2026-09-02,한국,17,character:93,한수진,8
2026-09-02,한국,18,character:249,박유미,8
2026-09-02,한국,19,character:97,차수민,8
2026-09-02,한국,20,character:291,차진희,7
2026-09-02,한국,21,character:303,최고은,7
2026-09-02,한국,22,character:284,오유리,6
2026-09-02,한국,23,character:299,한가연,6
2026-09-02,한국,24,character:329,최진희,6
2026-09-02,한국,25,character:182,이지연,5
2026-09-02,한국,26,character:261,나연아,5
2026-09-02,한국,27,character:221,정은애,5
2026-09-02,한국,28,character:72,이예린,4
2026-09-02,한국,29,character:76,배현주,4
2026-09-02,한국,30,character:132,정소은,4
2026-09-02,한국,31,character:89,유달리,4
2026-09-02,한국,32,character:99,조미경,4
2026-09-02,한국,33,character:77,서미나,3
2026-09-02,한국,34,character:80,베르디아,3
2026-09-02,한국,35,character:91,허민,3
2026-09-02,한국,36,character:268,주서윤,3
2026-09-02,한국,37,character:255,최선영,3
2026-09-02,한국,38,character:96,정고은,3
2026-09-02,한국,39,character:177,백가인,3
2026-09-02,한국,40,character:254,이유라,3
2026-09-02,한국,41,character:78,유세하,3
2026-09-02,한국,42,character:297,이다미,2
2026-09-02,한국,43,character:60,한희진,2
2026-09-02,한국,44,character:296,김지민,2
2026-09-02,한국,45,character:62,유은희,2
2026-09-02,한국,46,character:129,은혜,2
2026-09-02,한국,47,character:71,김가을,2
2026-09-02,한국,48,character:317,피오나,2
2026-09-02,한국,49,character:8,윤혜윤,2
2026-09-02,한국,50,character:173,유소담,1
2026-09-02,한국,51,character:226,이미예,1
2026-09-02,한국,52,character:146,도지유,1
2026-09-02,일본,1,character:291,竹田千夏,44
2026-09-02,일본,2,character:133,矢野 栄子,43
2026-09-02,일본,3,character:70,坂口美帆,31
2026-09-02,일본,4,character:256,飯村香澄,29
2026-09-02,일본,5,character:74,秋山紗妃,20
2026-09-02,일본,6,character:329,竿田真由美,19
2026-09-02,일본,7,character:258,板野由美,13
